label,dataset,model,epochs,best_val_acc,best_val_loss,test_acc,test_loss
novecs,HCPAge,MBPGNN,10,0.514018691588785,0.0,0.40375586854460094,0.27850158085845444
novecs,HCPAge,GCNConv,10,0.4672897196261682,0.0,0.4413145539906103,0.2788970837011024
novecs,HCPAge,GraphConv,10,0.411214953271028,0.0,0.460093896713615,0.2753818155454358
novecs,HCPTask,MBPGNN,10,0.7288590604026846,0.0,0.7132303559435863,0.4561994963640171
novecs,HCPTask,GCNConv,10,0.6026845637583893,0.0,0.5815983881799865,0.44505767569276133
novecs,HCPTask,GraphConv,10,0.6,0.0,0.6138347884486233,0.43838698692654826
novecs,HCPAge,MBPGNN,100,0.514018691588785,0.0,0.4225352112676056,0.26535541994470946
novecs,HCPAge,GCNConv,100,0.514018691588785,0.0,0.4507042253521127,0.2593964909163999
novecs,HCPAge,GraphConv,100,0.4953271028037383,0.0,0.45539906103286387,0.28055588908038787
novecs,HCPTask,MBPGNN,100,0.9651006711409396,0.0,0.9583613163196776,0.3048972274690286
novecs,HCPTask,GCNConv,100,0.9369127516778524,0.0,0.9254533243787777,0.31672170067730165
novecs,HCPTask,GraphConv,100,0.9328859060402684,0.0,0.9173942243116185,0.3077149089748544
novecs,HCPAge,GeneralConv,100,0.45794392523364486,0.0,0.431924882629108,0.2735980751928589
novecs,HCPTask,GeneralConv,100,0.9516778523489933,0.0,0.9429147078576225,0.31355249057126733
randn_vecs,HCPAge,MBPGNN,100,0.514018691588785,0.0,0.4460093896713615,0.28303520444413305
randn_vecs,HCPAge,GCNConv,100,0.514018691588785,0.0,0.4413145539906103,0.2619751918483788
randn_vecs,HCPAge,GraphConv,100,0.514018691588785,0.0,0.40375586854460094,0.28095512742727574
randn_vecs,HCPAge,GeneralConv,100,0.4766355140186916,0.0,0.4084507042253521,0.2598735382299468
randn_vecs,HCPTask,MBPGNN,100,0.9664429530201343,0.0,0.9684351914036265,0.3135030695741972
randn_vecs,HCPTask,GCNConv,100,0.9409395973154362,0.0,0.9267965077233042,0.3133388584175712
randn_vecs,HCPTask,GraphConv,100,0.9275167785234899,0.0,0.9140362659503022,0.31710617901736093
randn_vecs,HCPTask,GeneralConv,100,0.9543624161073826,0.0,0.9543317662860981,0.3087049468881416
